   CR A1 A2 B1 B2 C1 C2 D1 D2 E1 E2 F1 F2
CR  0 81 28 54 62 30 11 31 65 26  2 47 17
A1 75  0 37 69  7 91 33 29 82 15 72 52 55
A2 30 37  0 86  3 25 86 25 93 90 53 81 54
B1 53 74 82  0 96 31 16 37 32 87 91  9 89
B2 59  8  3 99  0 37 54 61 90 88 78 71 87
C1 29 92 25 33 34  0 48 54  8 83 83 74 57
C2 10 34 89 15 51 47  0  8 41 48 95 64 51
D1 29 27 24 36 61 50  8  0 47  8 61 40 19
D2 68 87 87 34 90  8 44 46  0 73 39 55 93
E1 24 15 96 86 86 79 46  9 79  0 47 85 49
E2  2 69 52 89 73 88 90 60 37 46  0 20 54
F1 44 48 87  9 73 70 64 43 58 81 18  0 57
F2 18 54 58 93 82 58 54 17 98 53 50 56  0
