   CR A1 A2 B1 B2 C1 C2 D1 D2 E1 E2 F1 F2 G1 G2 H1 H2
CR  0 96 20 65 62  5 70 20 53 47 20 55 21 81  8 72 69
A1 95  0 75 84 68 79 91 54 90 47 25 42 47 21 24 39 27
A2 18 75  0 27 13 30 27 74 26 87 91 45 60 10 86 23 31
B1 70 81 27  0 88  7 44 19 69 43 60 88 64 70 25 39 60
B2 64 66 12 87  0 82 63 61 79 16 38 47 51  5 91 39 71
C1  5 75 29  6 89  0 65 95 13 14 79 30 65 11 58 48 50
C2 75 89 29 47 63 62  0 28 50 90 67 59 40 29 85 82 51
D1 22 56 70 19 63 99 26  0 93 53 62 12 13 32 46  9 72
D2 49 97 26 69 81 14 52 99  0 57 93  3 11 63 26 96 77
E1 47 45 82 40 17 14 84 52 53  0 91 88 43 97 13 76 88
E2 22 23 84 56 41 74 70 62 96 93  0 16  3 36 51 91 76
F1 59 45 42 90 48 30 64 13  3 84 16  0 98 48 16  7 41
F2 20 48 60 66 55 65 40 13 11 42  3 99  0 29 10 82 40
G1 80 19  9 75  5 11 29 34 65 99 36 51 28  0 73 79 79
G2  8 23 86 26 97 57 89 45 26 14 54 15 11 78  0 54 64
H1 68 36 21 38 36 51 75  8 91 77 98  8 86 73 55  0 38
H2 68 27 31 61 73 49 50 69 75 90 73 38 41 77 60 37  0
